sample,shape,mask_bytes,foreground_px,foreground_pct,maskel_baseline_mb,sk_zhang_baseline_mb,sk_lee_baseline_mb,vv_lee_baseline_mb,maskel_peak_mb,sk_zhang_peak_mb,sk_lee_peak_mb,vv_lee_peak_mb,maskel_delta_mb,sk_zhang_delta_mb,sk_lee_delta_mb,vv_lee_delta_mb,maskel_wall_time_s,sk_zhang_wall_time_s,sk_lee_wall_time_s,vv_lee_wall_time_s
05_dr,"(2336, 3504)",8185344,508978,6.218,175.93,138.0,138.19,203.62,201.97,162.02,172.07,262.5,26.05,24.02,33.88,58.88,0.145,0.23,0.756,0.746
05_g,"(2336, 3504)",8185344,535051,6.537,176.02,137.95,138.45,203.62,203.36,161.58,172.14,264.68,27.34,23.64,33.68,61.05,0.163,0.308,0.896,1.02
05_h,"(2336, 3504)",8185344,738786,9.026,175.97,138.09,138.01,203.82,205.16,161.73,171.77,278.1,29.2,23.64,33.77,74.28,0.178,0.323,0.915,1.397
06_dr,"(2336, 3504)",8185344,617966,7.55,176.18,137.98,137.95,201.79,204.5,161.62,172.03,269.43,28.32,23.64,34.08,67.64,0.157,0.267,0.8,1.166
06_g,"(2336, 3504)",8185344,559765,6.839,176.02,138.0,137.88,203.72,204.22,161.64,171.78,266.14,28.2,23.64,33.91,62.42,0.169,0.308,0.917,0.885
06_h,"(2336, 3504)",8185344,829870,10.138,176.2,138.0,138.11,202.18,204.51,167.32,172.25,283.64,28.31,29.32,34.14,81.45,0.179,0.31,0.968,1.656
07_dr,"(2336, 3504)",8185344,636359,7.774,176.11,138.21,137.85,203.98,203.96,161.85,171.88,271.59,27.86,23.64,34.02,67.61,0.168,0.287,0.99,1.264
07_g,"(2336, 3504)",8185344,532784,6.509,176.08,138.13,138.01,204.01,203.03,161.77,172.0,264.35,26.95,23.64,33.99,60.34,0.15,0.265,0.713,0.83
07_h,"(2336, 3504)",8185344,729013,8.906,176.08,138.16,138.09,203.86,204.09,161.8,171.97,277.35,28.01,23.64,33.88,73.48,0.186,0.325,1.008,1.339
08_dr,"(2336, 3504)",8185344,615777,7.523,175.73,137.96,137.93,204.0,204.75,161.6,171.96,270.11,29.02,23.64,34.03,66.11,0.162,0.374,1.04,0.729
