sample,shape,foreground_px,foreground_pct,maskel_time_s,sk_zhang_time_s,sk_lee_time_s,vv_lee_time_s
01_dr,"(2336, 3504)",416282,5.086,0.130679,0.53594,1.441782,1.438528
01_g,"(2336, 3504)",547632,6.69,0.090355,0.30363,0.899704,0.935122
01_h,"(2336, 3504)",833888,10.188,0.103216,0.286207,1.057805,1.232352
02_dr,"(2336, 3504)",521878,6.376,0.098684,0.420206,1.310641,1.308907
02_g,"(2336, 3504)",609722,7.449,0.080446,0.25059,0.912226,1.202204
02_h,"(2336, 3504)",808438,9.877,0.09565,0.309913,0.963363,1.398171
03_dr,"(2336, 3504)",494400,6.04,0.07354,0.229338,0.768803,0.864891
03_g,"(2336, 3504)",472735,5.775,0.067725,0.256841,0.640756,0.811476
03_h,"(2336, 3504)",864171,10.558,0.124079,0.462105,1.584738,1.400909
04_dr,"(2336, 3504)",462179,5.646,0.074239,0.267017,0.764235,0.922241
04_g,"(2336, 3504)",526916,6.437,0.076446,0.233037,0.848711,0.928774
04_h,"(2336, 3504)",771601,9.427,0.110047,0.359309,1.396467,1.669798
05_dr,"(2336, 3504)",508978,6.218,0.073992,0.238592,0.83732,0.929204
05_g,"(2336, 3504)",535051,6.537,0.083878,0.309914,0.99851,0.804103
05_h,"(2336, 3504)",738786,9.026,0.098618,0.351474,1.115835,1.070421
06_dr,"(2336, 3504)",617966,7.55,0.080134,0.271503,1.078498,1.148481
06_g,"(2336, 3504)",559765,6.839,0.089035,0.320281,1.084084,1.152092
06_h,"(2336, 3504)",829870,10.138,0.105074,0.308113,1.269427,1.551096
07_dr,"(2336, 3504)",636359,7.774,0.090214,0.285256,1.062391,0.976208
07_g,"(2336, 3504)",532784,6.509,0.074382,0.263313,0.951978,1.046516
07_h,"(2336, 3504)",729013,8.906,0.101967,0.358883,1.121354,1.325585
08_dr,"(2336, 3504)",615777,7.523,0.096671,0.379362,1.307702,1.074421
08_g,"(2336, 3504)",555558,6.787,0.086335,0.302962,1.135129,1.124077
08_h,"(2336, 3504)",821627,10.038,0.104741,0.281564,1.058463,1.433171
09_dr,"(2336, 3504)",554447,6.774,0.101439,0.344965,1.171534,1.270374
09_g,"(2336, 3504)",541943,6.621,0.080777,0.261467,0.96156,1.000823
09_h,"(2336, 3504)",636468,7.776,0.090856,0.31758,0.942456,0.920701
10_dr,"(2336, 3504)",714889,8.734,0.097096,0.318057,1.312229,1.126077
10_g,"(2336, 3504)",536598,6.556,0.066245,0.22417,0.713545,0.894453
10_h,"(2336, 3504)",705438,8.618,0.088093,0.255343,1.001017,1.214762
11_dr,"(2336, 3504)",692937,8.466,0.089982,0.292218,1.233079,1.424985
11_g,"(2336, 3504)",625693,7.644,0.103355,0.4286,1.556362,1.596528
11_h,"(2336, 3504)",765355,9.35,0.11252,0.340697,1.225564,1.501673
12_dr,"(2336, 3504)",556724,6.801,0.083614,0.271348,1.041048,1.227394
12_g,"(2336, 3504)",676424,8.264,0.090149,0.31326,1.257045,1.398137
12_h,"(2336, 3504)",859295,10.498,0.112596,0.344997,1.262006,1.243622
13_dr,"(2336, 3504)",559479,6.835,0.077901,0.257573,0.897278,1.090742
13_g,"(2336, 3504)",556981,6.805,0.07968,0.28554,1.029108,0.823982
13_h,"(2336, 3504)",712528,8.705,0.102666,0.31397,1.086342,1.313495
14_dr,"(2336, 3504)",624936,7.635,0.104593,0.406309,1.573003,1.637542
14_g,"(2336, 3504)",578169,7.063,0.089883,0.353112,1.305441,0.997395
14_h,"(2336, 3504)",714054,8.724,0.09296,0.261258,0.884854,1.230485
15_dr,"(2336, 3504)",535043,6.537,0.094158,0.341162,1.118257,1.1553
15_g,"(2336, 3504)",599188,7.32,0.089818,0.312892,1.176451,1.229972
15_h,"(2336, 3504)",641245,7.834,0.085992,0.268931,0.810766,1.116281
