sample,repeat,shape,foreground_px,foreground_pct,maskel_time_s,sk_lee_time_s,vv_lee_time_s
VESSEL12_05,2,"(424, 512, 512)",18113667,16.297,12.336006,33.177466,56.170768
VESSEL12_05,3,"(424, 512, 512)",18113667,16.297,12.291173,33.171653,55.589124
VESSEL12_05,4,"(424, 512, 512)",18113667,16.297,12.328979,33.933821,55.903355
VESSEL12_06,0,"(375, 512, 512)",8310256,8.454,6.107906,22.560835,23.490626
VESSEL12_06,1,"(375, 512, 512)",8310256,8.454,6.125227,22.560176,23.871766
VESSEL12_06,2,"(375, 512, 512)",8310256,8.454,6.129124,22.568411,23.944415
VESSEL12_06,3,"(375, 512, 512)",8310256,8.454,6.082261,22.573976,24.01284
VESSEL12_06,4,"(375, 512, 512)",8310256,8.454,6.117623,22.555536,23.389636
VESSEL12_07,0,"(461, 512, 512)",15940094,13.19,11.385657,34.420986,50.301505
VESSEL12_07,1,"(461, 512, 512)",15940094,13.19,11.453106,34.760248,50.340585
VESSEL12_07,2,"(461, 512, 512)",15940094,13.19,11.47343,34.420967,50.166454
VESSEL12_07,3,"(461, 512, 512)",15940094,13.19,11.419253,34.411987,49.669765
VESSEL12_07,4,"(461, 512, 512)",15940094,13.19,11.454883,34.432089,50.341404
VESSEL12_08,0,"(442, 512, 512)",13943294,12.034,10.070548,31.419883,39.71515
VESSEL12_08,1,"(442, 512, 512)",13943294,12.034,10.163347,31.401986,39.858667
VESSEL12_08,2,"(442, 512, 512)",13943294,12.034,10.058651,31.414765,39.401501
VESSEL12_08,3,"(442, 512, 512)",13943294,12.034,9.956416,31.415552,39.934629
VESSEL12_08,4,"(442, 512, 512)",13943294,12.034,10.08005,31.452611,39.874859
VESSEL12_09,0,"(543, 512, 512)",20844232,14.644,14.656126,46.567579,62.22992
VESSEL12_09,1,"(543, 512, 512)",20844232,14.644,13.7153,46.59281,62.107708
VESSEL12_09,2,"(543, 512, 512)",20844232,14.644,14.620547,46.626174,61.73212
VESSEL12_09,3,"(543, 512, 512)",20844232,14.644,15.481782,47.07427,62.06599
VESSEL12_09,4,"(543, 512, 512)",20844232,14.644,14.153788,46.567239,62.229273
VESSEL12_10,0,"(426, 512, 512)",10945051,9.801,8.30192,27.335979,30.966854
VESSEL12_10,1,"(426, 512, 512)",10945051,9.801,8.325682,28.290528,31.005442
VESSEL12_10,2,"(426, 512, 512)",10945051,9.801,8.209926,27.339333,30.480533
VESSEL12_10,3,"(426, 512, 512)",10945051,9.801,8.261274,27.592244,30.802812
VESSEL12_10,4,"(426, 512, 512)",10945051,9.801,8.342312,27.351752,30.926287
VESSEL12_11,0,"(421, 512, 512)",11746873,10.644,8.70795,27.704028,34.426912
VESSEL12_11,1,"(421, 512, 512)",11746873,10.644,8.74812,27.961617,33.054667
VESSEL12_11,2,"(421, 512, 512)",11746873,10.644,8.274323,27.722626,33.054382
VESSEL12_11,3,"(421, 512, 512)",11746873,10.644,8.595255,27.716391,34.408651
VESSEL12_11,4,"(421, 512, 512)",11746873,10.644,8.829178,27.844293,34.159538
VESSEL12_12,0,"(446, 512, 512)",14915056,12.757,9.711909,33.171654,43.576256
VESSEL12_12,1,"(446, 512, 512)",14915056,12.757,9.709672,33.112911,43.24454
VESSEL12_12,2,"(446, 512, 512)",14915056,12.757,9.670255,33.166711,43.395801
VESSEL12_12,3,"(446, 512, 512)",14915056,12.757,9.615493,33.069396,43.421161
VESSEL12_12,4,"(446, 512, 512)",14915056,12.757,9.222092,33.133994,43.456934
VESSEL12_13,0,"(471, 512, 512)",7790356,6.31,6.847296,25.013901,22.160256
VESSEL12_13,1,"(471, 512, 512)",7790356,6.31,6.907891,25.079045,21.966908
VESSEL12_13,2,"(471, 512, 512)",7790356,6.31,6.93607,25.025844,22.006632
VESSEL12_13,3,"(471, 512, 512)",7790356,6.31,6.998962,24.999096,21.383089
VESSEL12_13,4,"(471, 512, 512)",7790356,6.31,7.16289,25.01218,21.779653
VESSEL12_14,0,"(386, 512, 512)",9856656,9.741,7.178344,23.885506,27.642177
VESSEL12_14,1,"(386, 512, 512)",9856656,9.741,7.166751,23.922871,27.593522
VESSEL12_14,2,"(386, 512, 512)",9856656,9.741,7.137904,23.98395,28.01568
VESSEL12_14,3,"(386, 512, 512)",9856656,9.741,7.176858,23.909174,27.370867
VESSEL12_14,4,"(386, 512, 512)",9856656,9.741,7.215128,24.0526,27.941696
VESSEL12_15,0,"(378, 512, 512)",13151623,13.272,8.829807,27.377193,38.44249
VESSEL12_15,1,"(378, 512, 512)",13151623,13.272,8.951404,27.416959,38.310138
VESSEL12_15,2,"(378, 512, 512)",13151623,13.272,8.868187,27.438815,38.739943
VESSEL12_15,3,"(378, 512, 512)",13151623,13.272,8.945736,27.406667,37.605343
VESSEL12_15,4,"(378, 512, 512)",13151623,13.272,8.80893,27.424037,38.245583
VESSEL12_16,0,"(451, 512, 512)",13160873,11.132,9.719391,29.207389,38.093604
VESSEL12_16,1,"(451, 512, 512)",13160873,11.132,9.712011,29.246693,37.595541
VESSEL12_16,2,"(451, 512, 512)",13160873,11.132,9.633689,29.254112,38.096264
VESSEL12_16,3,"(451, 512, 512)",13160873,11.132,9.777983,29.227015,38.161817
VESSEL12_16,4,"(451, 512, 512)",13160873,11.132,9.707488,29.204376,37.127821
VESSEL12_17,0,"(429, 512, 512)",7900220,7.025,6.295991,21.177771,19.688057
VESSEL12_17,1,"(429, 512, 512)",7900220,7.025,6.173693,21.173879,20.21136
VESSEL12_17,2,"(429, 512, 512)",7900220,7.025,6.300854,21.155911,20.380965
VESSEL12_17,3,"(429, 512, 512)",7900220,7.025,6.42384,21.162506,19.766011
VESSEL12_17,4,"(429, 512, 512)",7900220,7.025,6.331806,21.455976,20.454206
VESSEL12_18,0,"(408, 512, 512)",16297322,15.238,11.094759,31.554304,48.978533
VESSEL12_18,1,"(408, 512, 512)",16297322,15.238,11.272839,31.391837,48.951208
VESSEL12_18,2,"(408, 512, 512)",16297322,15.238,11.122588,31.811127,48.843912
VESSEL12_18,3,"(408, 512, 512)",16297322,15.238,11.128898,31.518045,49.410837
VESSEL12_18,4,"(408, 512, 512)",16297322,15.238,11.217694,31.436314,49.101573
VESSEL12_19,0,"(396, 512, 512)",12436968,11.981,8.943886,28.557264,37.430615
VESSEL12_19,1,"(396, 512, 512)",12436968,11.981,8.769007,28.709447,37.563547
VESSEL12_19,2,"(396, 512, 512)",12436968,11.981,8.943842,28.443044,37.053729
VESSEL12_19,3,"(396, 512, 512)",12436968,11.981,8.918491,28.655526,37.090297
VESSEL12_19,4,"(396, 512, 512)",12436968,11.981,8.892631,28.425843,37.425853
VESSEL12_20,0,"(406, 512, 512)",10557355,9.919,7.89729,25.766253,30.487567
VESSEL12_20,1,"(406, 512, 512)",10557355,9.919,7.961693,25.883014,30.673512
VESSEL12_20,2,"(406, 512, 512)",10557355,9.919,7.825395,25.722306,29.984708
VESSEL12_20,3,"(406, 512, 512)",10557355,9.919,7.87851,25.793843,30.474749
VESSEL12_20,4,"(406, 512, 512)",10557355,9.919,7.937633,25.795008,29.650444
