sample,shape,mask_bytes,foreground_px,foreground_pct,maskel_baseline_mb,sk_lee_baseline_mb,vv_lee_baseline_mb,maskel_peak_mb,sk_lee_peak_mb,vv_lee_peak_mb,maskel_delta_mb,sk_lee_delta_mb,vv_lee_delta_mb,maskel_wall_time_s,sk_lee_wall_time_s,vv_lee_wall_time_s
VESSEL12_01,"(355, 512, 512)",93061120,9994505,10.74,279.46,218.64,284.55,465.29,402.02,613.2,185.83,183.39,328.65,8.967,30.236,43.58
VESSEL12_02,"(415, 512, 512)",108789760,18112986,16.65,274.5,233.67,299.55,499.26,448.74,836.86,224.76,215.07,537.3,12.955,34.648,54.843
VESSEL12_03,"(534, 512, 512)",139984896,24503183,17.504,303.83,263.56,329.22,588.01,538.64,1048.99,284.18,275.08,719.77,16.977,47.709,83.229
VESSEL12_04,"(426, 512, 512)",111673344,11990288,10.737,277.21,236.47,302.65,507.08,455.61,696.8,229.88,219.14,394.15,10.042,27.669,34.292
VESSEL12_05,"(424, 512, 512)",111149056,18113667,16.297,276.39,236.12,302.27,503.68,455.46,841.95,227.29,219.34,539.68,12.453,33.693,55.986
VESSEL12_06,"(375, 512, 512)",98304000,8310256,8.454,263.84,223.71,292.04,468.45,416.21,585.7,204.61,192.5,293.66,6.709,22.668,23.18
VESSEL12_07,"(461, 512, 512)",120848384,15940094,13.19,285.74,245.75,311.27,534.0,482.62,808.41,248.26,236.87,497.14,11.548,35.058,49.3
VESSEL12_08,"(442, 512, 512)",115867648,13943294,12.034,281.48,240.53,306.92,520.24,468.2,751.59,238.77,227.66,444.67,10.466,31.69,39.05
VESSEL12_09,"(543, 512, 512)",142344192,20844232,14.644,306.44,265.81,331.79,599.01,545.66,966.55,292.57,279.86,634.76,13.941,47.117,61.591
VESSEL12_10,"(426, 512, 512)",111673344,10945051,9.801,277.28,236.44,303.0,507.17,455.69,672.19,229.89,219.25,369.18,8.681,27.714,30.724
VESSEL12_11,"(421, 512, 512)",110362624,11746873,10.644,276.14,235.23,303.23,500.83,452.07,690.27,224.69,216.83,387.04,8.819,28.164,34.089
VESSEL12_12,"(446, 512, 512)",116916224,14915056,12.757,282.15,241.71,307.36,522.09,473.35,776.28,239.95,231.64,468.91,10.03,33.31,42.861
VESSEL12_13,"(471, 512, 512)",123469824,7790356,6.31,288.36,247.76,313.83,535.57,488.82,619.01,247.21,241.05,305.18,6.917,25.178,21.842
VESSEL12_14,"(386, 512, 512)",101187584,9856656,9.741,266.9,226.61,292.71,478.42,425.36,625.85,211.52,198.75,333.14,7.927,24.296,27.594
VESSEL12_15,"(378, 512, 512)",99090432,13151623,13.272,264.92,224.66,290.27,470.07,419.77,700.08,205.15,195.11,409.81,9.227,27.857,38.274
VESSEL12_16,"(451, 512, 512)",118226944,13160873,11.132,281.18,242.75,310.73,524.97,474.91,739.1,243.79,232.16,428.37,10.754,29.564,38.575
VESSEL12_17,"(429, 512, 512)",112459776,7900220,7.025,278.16,237.49,303.35,508.74,457.49,600.69,230.57,220.0,297.34,6.999,21.367,19.772
VESSEL12_18,"(408, 512, 512)",106954752,16297322,15.238,272.57,232.0,298.44,491.78,443.12,790.69,219.2,211.12,492.25,11.552,31.996,48.866
VESSEL12_19,"(396, 512, 512)",103809024,12436968,11.981,270.32,229.4,294.9,489.19,433.45,692.11,218.87,204.05,397.21,9.145,28.51,36.276
VESSEL12_20,"(406, 512, 512)",106430464,10557355,9.919,272.16,231.58,297.68,489.77,440.48,652.55,217.61,208.91,354.87,8.73,26.125,29.737
